id_covidence,doi,pmid,pmcid,link,study,published_year,journal,title
#9910,10.1001/jamanetworkopen.2024.40817,39446325,PMC11581605,,Schmader 2024,2024,JAMA Netw Open,Safety of Simultaneous Vaccination With Adjuvanted Zoster Vaccine and Adjuvanted Influenza Vaccine: A Randomized Clinical Trial
#8278,10.15585/mmwr.mm7342a1,39446667,PMC11500842,,Ma 2024,2024,MMWR Morb Mortal Wkly Rep,"Genomic Surveillance for SARS-CoV-2 Variants: Circulation of Omicron XBB and JN.1 Lineages - United States, May 2023-September 2024"
#4303,10.1016/j.vaccine.2024.126465,39447251,,,AbRahman 2024,2024,Vaccine,"Risk of major adverse cerebro-cardiovascular events following BNT162b2, CoronaVac, and ChAdOx1 vaccination and SARS-CoV-2 infection: A self-controlled case-series study"
#5696,10.1016/j.vaccine.2024.126460,39447252,,,Darko 2024,2024,Vaccine,Safety of mRNA COVID-19 vaccines among persons 15- years and above in Ghana: A cohort event monitoring study
#8892,10.1016/j.vaccine.2024.126462,39454292,,,Ng 2024,2024,Vaccine,Acute autoimmune hepatitis following COVID-19 mRNA vaccination: A population-based study using electronic health records in Singapore
#7191,10.3390/jcm13206173,39458123,PMC11508506,,J__kowiak-Kossakowska 2024,2024,Journal of Clinical Medicine,Impact of Comorbidities and Skin Diseases on Post-Vaccination Reactions: A Study on COVID-19 Vaccinations in Poland
#38922,10.3390/vaccines12101160,39460326,PMC11510999,,JimenoRuiz 2024,2024,Vaccines,Evaluating the Effectiveness of Nirsevimab in Reducing Pediatric RSV Hospitalizations in Spain.
#2779,10.1016/s1473-3099(24)00565-6,39461355,,,Okada 2025,2025,Lancet Infect Dis,Immunogenicity of a booster dose of a bivalent (Asp614Gly and omicron BA.4/5 variant) self-amplifying mRNA SARS-CoV-2 booster vaccine versus the BNT162b2 omicron BA.4/5 mRNA vaccine: a randomised phase 3 trial
#11416,10.1016/j.jvacx.2024.100571,39474208,PMC11513630,,Zethelius 2024,2024,Vaccine X,Pulmonary embolism after SARS-CoV-2 vaccination
#5079,10.1093/ofid/ofae597,39474445,PMC11521338,,Bosch 2024,2024,Open Forum Infectious Diseases,"Incidence of Respiratory Syncytial Virus in Community-Dwelling Adults Aged 18-64 Years Over 2 Seasons, 2022-2024, in a North American Community"
#6384,10.1016/j.nrleng.2024.10.001,39488251,,,García-Azorín 2024,2024,Neurologia (Engl Ed),Thrombosis with thrombocytopenia syndrome following adenovirus vector-based vaccines to prevent COVID-19: Epidemiology and clinical presentation in Spain
#5200,10.1038/s41467-024-53842-w,39488521,PMC11531596,,Caffrey 2024,2024,Nat Commun,Effectiveness of BNT162b2 XBB vaccine in the US Veterans Affairs Healthcare System
#9407,10.3389/fcvm.2024.1435038,39494234,PMC11527644,,Pudasaini 2024,2024,Frontiers in Cardiovascular Medicine,Levels of high-sensitive troponin T and mid-regional pro-adrenomedullin after COVID-19 vaccination in vulnerable groups: monitoring cardiovascular safety of COVID-19 vaccination
#8970,10.1093/ofid/ofae557,39494453,PMC11530954,,O'Carroll 2024,2024,Open Forum Infectious Diseases,Estimating the Effect of Coronavirus Disease 2019 (COVID-19) Vaccination and Infection Variant on Post-COVID-19 Venous Thrombosis or Embolism Risk
#9154,10.3346/jkms.2024.39.e274,39497564,PMC11538574,,Park 2024,2024,J Korean Med Sci,Reported Adverse Events and Associated Factors in Korean Coronavirus Disease 2019 Vaccinations
#8320,10.1007/s10654-024-01170-0,39503924,PMC11599392,,Magnus 2024,2024,Eur J Epidemiol,Covid-19 vaccination and menstrual bleeding disturbances among women of fertile age: a Norwegian registry study
#10879,10.1001/jamanetworkopen.2024.43166,39504023,PMC11541642,,Walter 2024,2024,JAMA Netw Open,Safety of Simultaneous vs Sequential mRNA COVID-19 and Inactivated Influenza Vaccines: A Randomized Clinical Trial
#5464,10.1371/journal.pone.0310781,39509358,PMC11542819,,Chewaskulyong 2024,2024,PLoS One,Neutralizing antibodies and safety of a COVID-19 vaccine against SARS-CoV-2 wild-type and Omicron variants in solid cancer patients
#6950,10.1016/j.xagr.2024.100395,39512761,PMC11541679,,Hsiao 2024,2024,AJOG Global Reports,Safety of quadrivalent recombinant influenza vaccine in pregnant persons and their infants
#9126,10.1038/s41541-024-00964-3,39516206,PMC11549351,,Pan 2024,2024,npj Vaccines,Assessing acute kidney injury risk after COVID vaccination and infection in a large cohort study
#907,10.1093/cid/ciae550,39523547,PMC12043053,,Davis 2025,2025,Clin Infect Dis,Bivalent RSVpreF Vaccine in Adults 18 to <60 Years Old With High-Risk Conditions
#8576,10.1111/irv.70009,39523781,PMC11551475,,Merdrignac 2024,2024,Influenza Other Respir Viruses,"Effectiveness of XBB.1.5 Vaccines Against Symptomatic SARS-CoV-2 Infection in Older Adults During the JN.1 Lineage-Predominant Period, European VEBIS Primary Care Multicentre Study, 20 November 2023-1 March 2024"
#7241,10.7774/cevr.2024.13.4.309,39525675,PMC11543796,,Jirawattanadon 2024,2024,Clinical and Experimental Vaccine Research,"Clinical presentation, associated factors, and course of cutaneous reaction after the booster dose of COVID-19 vaccination"
#1574,10.1007/s15010-024-02427-2,39527343,PMC11971181,,Holzwarth 2025,2025,Infection,PaedVacCOVID - safety of the BNT162b2 vaccine against the SARS-CoV-2 in children with and without comorbidities aged 5 to 11 years
#8955,10.1080/14760584.2024.2428800,39535047,,,Nunes 2024,2024,Expert Rev Vaccines,Monovalent XBB.1.5 COVID-19 vaccine effectiveness against hospitalisations and deaths during the Omicron BA.2.86/JN.1 period among older adults in seven European countries: A VEBIS-EHR Network Study
#1705,10.1016/j.vaccine.2024.126514,39536455,,,Jastorff 2025,2025,Vaccine,"Safety and immunogenicity of the Ad26/protein preF RSV vaccine in adults aged 18 to 59 years with and without at-risk comorbidities for severe respiratory syncytial virus disease: A phase 3, randomized, controlled, immunobridging trial"
#9151,10.3346/jkms.2024.39.e309,39536790,PMC11557253,,Park 2024,2024,J Korean Med Sci,Active Surveillance for Safety Monitoring of XBB.1.5-Containing COVID-19 mRNA Vaccines in Korea
#10945,10.1080/21645515.2024.2425149,39540202,PMC11572236,,Wang 2024,2024,Hum Vaccin Immunother,"Safety and immunogenicity of full-dose quadrivalent influenza vaccine in children 6-35 months of age in China: A randomized, double-blind, clinical trial"
#7907,10.15585/mmwr.mm7345a1,39541241,PMC11576050,,Lefferts 2024,2024,MMWR Morb Mortal Wkly Rep,"Nirsevimab Effectiveness Against Medically Attended Respiratory Syncytial Virus Illness and Hospitalization Among Alaska Native Children - Yukon-Kuskokwim Delta Region, Alaska, October 2023-June 2024"
#8535,10.1016/j.jinf.2024.106346,39550007,,,McLeod 2024,2024,J Infect,"The Platform Trial In COVID-19 priming and BOOsting (PICOBOO): The immunogenicity, reactogenicity, and safety of licensed COVID-19 vaccinations administered as a second booster in BNT162b2 primed individuals aged 18-<50 and 50-<70 years old"
#17357,10.7759/cureus.71671,39553063,PMC11568403,,Naqid 2024,2024,Cureus,"Evaluating the Adverse Effects and Associated Risk Factors of COVID-19 Vaccines Among Healthcare Workers: A Retrospective Study in the Duhok Province, Iraq"
#17051,,39555720,,https://imj.ie/wp-content/uploads/2024/10/Cardiac-Investigations-in-Paediatric-Patients-with-Chest-Pain-Following-COVID-19-mRNA-Vaccination.pdf,Memon 2024,2024,Ir Med J,Cardiac Investigations in Paediatric Patients with Chest Pain Following COVID-19 mRNA Vaccination
#5486,10.24171/j.phrp.2024.0194,39557576,PMC11700711,,Choi 2024,2024,Osong Public Health and Research Perspectives,Safety of the bivalent COVID-19 mRNA booster vaccination among persons aged over 18 years in the Republic of Korea
#6425,10.1186/s12879-024-10226-1,39558292,PMC11572516,,Gennaro 2024,2024,BMC Infect Dis,"Protective role of vaccination on the development of long COVID: data from a large, multicenter, prospective cohort study"
#3241,10.1007/s10072-024-07870-5,39560882,,,Salmaggi 2025,2025,Neurol Sci,Impact of COVID-19 disease and COVID-19 vaccinations on hospital admissions for neurological diseases in the Lombardia over-12 population. Data from a self-controlled case series analysis
#15755,10.1136/bmjmed-2023-000743,39574424,PMC11579536,,Jorgensen 2024,2024,BMJ Med,Association between maternal mRNA covid-19 vaccination in early pregnancy and major congenital anomalies in offspring: population based cohort study with sibling matched analysis
#16794,10.1001/jamanetworkopen.2024.47492,39585698,PMC11589793,,Madni 2024,2024,JAMA Netw Open,COVID-19 Vaccine Reactogenicity Among Young Children
#10585,10.3390/vaccines12111237,39591140,PMC11599008,,Tian 2024,2024,Vaccines,Protective Impact of Influenza Vaccination on Healthcare Workers
#782,10.1016/j.vaccine.2024.126506,39591703,,,Choi 2025,2025,Vaccine,The risk of pregnancy-related adverse outcomes after COVID-19 vaccination: Propensity score-matched analysis with influenza vaccination
#1388,10.1016/s1473-3099(24)00589-9,39608389,,,Goswami 2025,2025,Lancet Infect Dis,"Safety and immunogenicity of mRNA-1345 RSV vaccine coadministered with an influenza or COVID-19 vaccine in adults aged 50 years or older: an observer-blinded, placebo-controlled, randomised, phase 3 trial"
#15830,10.4168/aair.2024.16.6.613,39622686,PMC11621480,,Kang 2024,2024,Allergy Asthma Immunol Res,"Global Burden of Vaccine-Associated Chronic Urticaria, 2010-2023: From the Global Pharmacovigilance Database"
#8432,10.1111/irv.70023,39623514,PMC11611713,,Marron 2024,2024,Influenza Other Respir Viruses,Influenza Vaccine Effectiveness Against Symptomatic Influenza in Primary Care: A Test Negative Case Control Study Over Two Influenza Seasons 2022/2023 and 2023/2024 in Ireland
#1648,10.1016/j.ijid.2024.107324,39637971,,,Ip 2025,2025,Int J Infect Dis,COVID-19 vaccination and cerebral small vessel disease progression-A prospective cohort study
#525,10.1007/s40264-024-01495-5,39638989,PMC11829932,,Boulefaa 2025,2025,Drug Saf,Early Detection of Hearing Impairment Signals Post-mRNA COVID-19 Vaccination: A Disproportionality Analysis Study on French Pharmacovigilance Database
#2378,10.1016/j.vaccine.2024.126569,39643572,,,Marchese 2025,2025,Vaccine,"Local and systemic reactogenicity after mRNA and protein-based COVID-19 vaccines compared to meningococcal vaccine (MenACWY) in a UK blinded, randomized phase 2 trial (COV-BOOST)"
#3260,10.1016/j.vaccine.2024.126535,39645433,,,Sankar 2025,2025,Vaccine,Vaccine safety surveillance in South Africa through COVID-19: A journey to systems strengthening
#2559,10.1001/jamapediatrics.2024.5572,39652359,PMC11667569,,Moline 2025,2025,JAMA Pediatr,Respiratory Syncytial Virus Disease Burden and Nirsevimab Effectiveness in Young Children From 2023-2024
#3468,10.5694/mja2.52557,39655683,,,Smith 2025,2025,Med J Aust,"Clinical phenotype of COVID-19 vaccine-associated myocarditis in Victoria, 2021-22: a cross-sectional study"
#4651,10.1093/cid/ciae596,39656748,,,Arbetter 2024,2024,Clin Infect Dis,Lower respiratory tract infections following respiratory syncytial virus monoclonal antibody nirsevimab immunization versus placebo: Analysis from a Phase 3 randomized clinical trial (MELODY)
#19044,10.1093/cid/ciae597,39656838,PMC12287760,,Tenforde 2024,2024,Clin Infect Dis,"Influenza vaccine effectiveness against hospitalizations and emergency department or urgent care encounters for children, adolescents, and adults during the 2023-2024 season, United States"
#3937,10.1093/cid/ciae598,39657038,,,Wee 2025,2025,Clin Infect Dis,Bivalent Boosters and Risk of Postacute Sequelae Following Vaccine-Breakthrough SARS-CoV-2 Omicron Infection: A Cohort Study
#13386,10.1210/clinem/dgae858,39657695,,,Bea 2024,2024,J Clin Endocrinol Metab,The Impact of COVID-19 Vaccination on Thyroid Disease in 7 Million Adult and 0.2 Million Adolescent Vaccine Recipients
#2557,10.1016/j.jinf.2024.106374,39657850,,,Mok 2025,2025,J Infect,Comparison of safety and immunogenicity in the elderly after receiving either Comirnaty or Spikevax monovalent XBB1.5 COVID-19 vaccine
#18764,10.1016/j.lana.2024.100949,39659558,PMC11629564,,Soe 2024,2024,Lancet Reg Health Am,mRNA COVID-19 vaccine safety among children and adolescents: a Canadian National Vaccine Safety Network cohort study
#1635,10.1016/j.cmi.2024.12.002,39662823,,,Iba 2025,2025,Clin Microbiol Infect,Booster vaccination and post-COVID-19 condition during the Omicron variant-dominant wave: a large population-based study
#19017,10.1001/jamanetworkopen.2024.49944,39666343,PMC11638790,,Tartof 2024,2024,JAMA Netw Open,BNT162b2 XBB Vaccine for COVID-19 Among Children 5-17 Years of Age
#10113,10.1080/21645515.2024.2425147,39666396,PMC11789733,,Shinde 2024,2024,Hum Vaccin Immunother,Immunogenicity and safety following a homologous booster dose of a SARS-CoV-2 recombinant spike protein vaccine with Matrix-M(TM) adjuvant (NVX-CoV2373) versus a primary series in people living with and without HIV-1 infection in South Africa: A randomized crossover phase 2a/2b trial
#5539,10.2807/1560-7917.Es.2024.29.50.2400164,39668765,,,Clothier 2024,2024,Euro Surveill,"Nuvaxovid NVX-CoV2373 vaccine safety profile: real-world data evidence after 100,000 doses, Australia, 2022 to 2023"
#10507,10.1001/jamanetworkopen.2024.50832,39671195,PMC11645642,,Tartof 2024,2024,JAMA Netw Open,Estimated Vaccine Effectiveness for Respiratory Syncytial Virus-Related Lower Respiratory Tract Disease
#3481,10.1016/j.bbih.2024.100902,39686920,PMC11646749,,Sodagari 2025,2025,"Brain, Behavior, and Immunity - Health",Examining vaccination-related adverse events in frequent neurodegenerative diseases
#2405,10.1016/j.ijid.2024.107364,39694231,PMC11735411,,Martínez-Baz 2025,2025,Int J Infect Dis,"Effectiveness of influenza vaccination in preventing confirmed influenza cases and hospitalizations in Northern Spain, 2023/24 season: A population-based test-negative case-control study"
#3592,10.1016/j.vaccine.2024.126629,39700907,,,Sun 2025,2025,Vaccine,Risk of adverse events after Omicron XBB-adapted BNT162b2 COVID-19 vaccination in the United States
#2089,10.1080/21645515.2024.2435156,39704470,,,Lei 2025,2025,Hum Vaccin Immunother,"Influenza vaccine effectiveness against medically-attended influenza infection in 2023/24 season in Hangzhou, China"
#3972,10.1101/2025.03.27.25324770v1,39708059,,,Wilson 2025,2025,Infect Dis Ther,Evaluating the Effectiveness of 2024-2025 Seasonal mRNA-1273 Vaccination Against COVID-19-Associated Hospitalizations and Medically Attended COVID-19 among adults aged ≥ 18 years in the United States
#4409,10.3346/jkms.2024.39.e317,39716863,PMC11666327,,Ahn 2024,2024,J Korean Med Sci,Epidemiological Characteristics and Outcome of Myocarditis and Pericarditis Temporally Associated With BNT162b2 COVID-19 Vaccine in Adolescents: Korean National Surveillance
#25149,10.1016/j.eclinm.2024.102962,39720603,PMC11667630,,Wu 2025,2025,EClinicalMedicine,Real-world effectiveness and causal mediation study of BNT162b2 on long COVID risks in children and adolescents
#13491,10.1093/cid/ciae649,39724318,PMC12302017,,Birabaharan 2024,2024,Clin Infect Dis,Atrial Fibrillation after RSV Vaccination Among Older Adults
#23468,10.1016/j.eclinm.2024.102995,39726669,PMC11669791,,Nguyen 2025,2025,EClinicalMedicine,Effectiveness of the BNT162b2 XBB.1.5-adapted vaccine against COVID-19 hospitalization related to the JN.1 variant in Europe: a test-negative case-control study using the id.DRIVE platform
#2768,10.1016/j.eclinm.2024.102986,39726670,PMC11669793,,OcanadeSentuary 2025,2025,eClinicalMedicine,Acceptance and safety of the RSV-preventive treatment of newborns with nirsevimab in the maternity department: a prospective longitudinal cohort study in France
#4195,10.1016/j.vaccine.2024.126662,39731809,,,Zhang 2025,2025,Vaccine,"Moderate effectiveness of influenza vaccine in outpatient settings: A test-negative study in Beijing, China, 2023/24 season"
#3796,10.1016/j.jvacx.2024.100593,39734394,PMC11681879,,vanEwijk 2025,2025,Vaccine X,Innate immune response after BNT162b2 COVID-19 vaccination associates with reactogenicity
#2376,10.1111/cts.70095,39736101,PMC11684469,,Mao 2025,2025,Clin Transl Sci,"A phase I, randomized, placebo-controlled trial to evaluate the pharmacokinetics, safety, and tolerability of nirsevimab in healthy Chinese adults"
#2165,10.1111/ene.70020,39739424,PMC11683473,,Lim 2025,2025,Eur J Neurol,The association between acute transverse myelitis and COVID-19 vaccination in Korea: Self-controlled case series study
#18637,10.35772/ghm.2024.01053,39741991,PMC11680453,,Shoji 2024,2024,Glob Health Med,Adverse reactions to mRNA COVID-19 vaccine in people with allergies in Japan
#2316,10.1097/aog.0000000000005817,39746206,,,Madhi 2025,2025,Obstet Gynecol,Preterm Birth Frequency and Associated Outcomes From the MATISSE (Maternal Immunization Study for Safety and Efficacy) Maternal Trial of the Bivalent Respiratory Syncytial Virus Prefusion F Protein Vaccine
#3443,10.1097/aog.0000000000005816,39746212,,,Simões 2025,2025,Obstet Gynecol,"Efficacy, Safety, and Immunogenicity of the MATISSE (Maternal Immunization Study for Safety and Efficacy) Maternal Respiratory Syncytial Virus Prefusion F Protein Vaccine Trial"
#548,10.1016/j.msard.2024.106253,39756168,,,Briggs 2025,2025,Mult Scler Relat Disord,Self-reported longitudinal COVID-19 vaccination reactogenicity profiles in persons with multiple sclerosis
#1761,10.1016/j.jinf.2024.106405,39756693,,,Jorda 2025,2025,J Infect,"Immunogenicity, safety, and reactogenicity of concomitant administration of the novavax vaccine against Omicron XBB.1.5 (NVX-CoV2601) and a 20-valent pneumococcal conjugate vaccine in adults aged ≥60 years: A randomised, double-blind, placebo-controlled, non-inferiority trial"
#21056,10.1093/cid/ciae658,39761230,PMC12287938,,Chung 2025,2025,Clin Infect Dis,"Influenza vaccine effectiveness against medically attended outpatient illness, United States, 2023-24 season"
#16883,10.3390/biomedicines12122852,39767757,PMC11673082,,Mantovani 2024,2024,Biomedicines,Autoantibodies Targeting G-Protein-Coupled Receptors and RAS-Related Molecules in Post-Acute COVID Vaccination Syndrome: A Retrospective Case Series Study
#8397,10.3390/vaccines12121409,39772070,PMC11680294,,Mansou 2024,2024,Vaccines,Reported Adverse Events Following SARS-CoV-2 Vaccinations in the Canadian Province of Alberta and Associated Risk Factors: A Retrospective Cohort Study
#633,10.1097/inf.0000000000004715,39773919,,,Carcione 2025,2025,Pediatr Infect Dis J,"ACTIVE POST-MARKETING SAFETY SURVEILLANCE OF NIRSEVIMAB ADMINISTERED TO CHILDREN IN WESTERN AUSTRALIA, APRIL-JULY 2024"
#23354,10.1093/braincomms/fcae448,39777257,PMC11703551,,Mukherjee 2025,2025,Brain Commun,Vaccination prior to SARS-CoV-2 infection does not affect the neurologic manifestations of long COVID
#2773,10.1002/pds.70082,39777941,PMC11706699,,Ogawa 2025,2025,Pharmacoepidemiol Drug Saf,Safety Assessment of Influenza Vaccination for Neurological Outcomes Among Older Adults in Japan: A Self-Controlled Case Series Study
#4093,10.1038/s41541-025-01065-5,39788985,PMC11718019,,Yaron 2025,2025,npj Vaccines,Incremental benefit of high dose compared to standard dose influenza vaccine in reducing hospitalizations
#3351,10.1111/1756-185x.70043,39791506,,,Shaharir 2025,2025,Int J Rheum Dis,Self-Reported Delayed Adverse Events and Flare Following COVID-19 Vaccination Among Patients With Autoimmune Rheumatic Disease (AIRD) in Malaysia: Results From the COVAD-2 Study
#4595,10.3390/healthcare13010002,39791609,PMC11719995,,Anastácio 2024,2024,Healthcare (Basel),Relation Between COVID-19 Infection and Vaccine and Menstrual Cycle Changes of Portuguese Adolescents in Higher Education
#17154,10.7759/cureus.75889,39822416,PMC11737604,,Mohamed 2024,2024,Cureus,Safety of COVID-19 Vaccines in Patients With Multiple Sclerosis: A Cross-Sectional Study From a Tertiary Rehabilitation Center in Saudi Arabia
#2957,10.1097/inf.0000000000004672,39823640,,,Perramon-Malavez 2025,2025,Pediatr Infect Dis J,"Effectiveness of Nirsevimab Immunoprophylaxis Against Respiratory Syncytial Virus-related Outcomes in Hospital Care Settings: A Seasonal Cohort Study of Infants in Catalonia, Spain"
#177,10.1016/s1473-3099(24)00670-4,39824198,,,Alves 2025,2025,Lancet Infect Dis,Immunogenicity and safety of a monovalent omicron XBB.1.5 SARS-CoV-2 recombinant spike protein vaccine as a heterologous booster dose in US adults: interim analysis of a single-arm phase 2/3 study
#1900,10.3346/jkms.2025.40.e10,39834222,PMC11745927,,Kim 2025,2025,J Korean Med Sci,Risk of Kawasaki Disease/Multisystem Inflammatory Syndrome Following COVID-19 Vaccination in Korean Children: A Self-Controlled Case Series Study
#1210,10.1080/21645515.2024.2436714,39836458,,,Figueroa 2025,2025,Hum Vaccin Immunother,Safety and immunogenicity of an mRNA-1273 vaccine booster in adolescents
#244,10.1097/iae.0000000000004413,39841907,,,Arepalli 2025,2025,Retina,THE HETEROGENEOUS PRESENTATIONS OF DE NOVO AND RECURRENT OCULAR INFLAMMATION AFTER COVID-19 VACCINATION : A Multicenter Report and a Review of the Literature
#22825,10.1016/j.jacig.2024.100387,39844915,PMC11750530,,Lim 2025,2025,J Allergy Clin Immunol Glob,Outcomes of pediatric patients with suspected allergies to COVID-19 vaccines
#338,10.1016/S1473-3099(24)00796-5,39848264,,,Bajema 2025,2025,LANCET INFECTIOUS DISEASES,"Respiratory syncytial virus vaccine effectiveness among US veterans, September, 2023 to March, 2024: a target trial emulation study"
#4272,10.3390/vaccines13010004,39852783,PMC11768588,,Zhu 2025,2025,Vaccines,Evaluation of Influenza Vaccine Effectiveness from 2021 to 2024: A Guangdong-Based Test-Negative Case–Control Study
#21167,10.3390/vaccines13010042,39852821,PMC11769184,,Dammann 2025,2025,Vaccines (Basel),Influenza Immunization in Very-Low-Birth-Weight Infants: Epidemiology and Long-Term Outcomes
_#2063,10.1002/cpt.3565,39854110,,,Lee 2025,2025,Clin Pharmacol Ther,Association of Influenza Vaccination During Pregnancy with Health Outcomes in Mothers and Children: A Population-Based Cohort Study
#2742,10.1016/j.joca.2024.12.010,39855291,PMC11954666,,Nong 2025,2025,Osteoarthritis Cartilage,Association of COVID-19 vaccinations with osteoarthritis flares: A case-crossover study
#314,10.1016/j.lana.2024.100984,39866362,PMC11764319,,Babalola 2025,2025,The Lancet Regional Health - Americas,SARS-COV-2 re-infection and incidence of post-acute sequelae of COVID-19 (PASC) among essential workers in New York: a retrospective cohort study
#3665,10.1016/j.eclinm.2024.103016,39866854,PMC11764035,,Tapia-Calle 2025,2025,eClinicalMedicine,"Safety, reactogenicity, and immunogenicity of Ad26.COV2.S co-administered with a quadrivalent standard-dose or high-dose seasonal influenza vaccine: a non-inferiority randomised controlled trial"
#337,10.1001/jamainternmed.2024.7452,39869355,PMC11773409,,Bajema 2025,2025,JAMA Intern Med,"Severity and Long-Term Mortality of COVID-19, Influenza, and Respiratory Syncytial Virus"
#428,10.1016/j.jinf.2025.106428,39874991,,,Bennett 2025,2025,J Infect,"Safety and immunogenicity of Omicron protein vaccines in mRNA-vaccinated adolescents: A phase 3, randomised trial"
#1670,10.1016/j.vaccine.2025.126754,39879847,,,Ito 2025,2025,Vaccine,"Safety comparison between Pfizer BNT162b2, Moderna mRNA-1273, and AstraZeneca AZD1222 in a Nationwide prospective cohort survey at the beginning of the severe acute respiratory syndrome coronavirus 2 vaccination in Japan"
#20993,10.1210/clinem/dgaf064,39883558,,,Cheng 2025,2025,J Clin Endocrinol Metab,"Long-term Thyroid Outcomes After COVID-19 Vaccination: A Cohort Study of 2,333,496 Patients from the TriNetX Network"
#3337,10.2807/1560-7917.Es.2025.30.4.2500059,39885824,,,Separovic 2025,2025,Euro Surveill,"Interim estimates of vaccine effectiveness against influenza A(H1N1)pdm09 and A(H3N2) during a delayed influenza season, Canada, 2024/25"
#7891,10.1016/j.jvacx.2024.100570,39886534,PMC11780392,,Lee 2024,2024,VACCINE: X,"Influenza vaccine effectiveness against influenza-associated hospitalizations in children, Hong Kong, November 2023 to June 2024"
#1336,10.1016/s2214-109x(24)00473-x,39890222,,,Gharpure 2025,2025,Lancet Glob Health,Effectiveness of 2023 southern hemisphere influenza vaccines against severe influenza-associated illness: pooled estimates from eight countries using the test-negative design
#13126,10.1136/bmjmed-2024-001074,39902239,PMC11789462,,Andersson 2024,2024,BMJ Med,"Comparative effectiveness of monovalent XBB.1.5 containing covid-19 mRNA vaccines in Denmark, Finland, and Sweden: target trial emulation based on registry data"
#21702,10.1016/j.eclinm.2024.103054,39902315,PMC11788791,,Garrett 2025,2025,EClinicalMedicine,Hybrid versus vaccine immunity of mRNA-1273 among people living with HIV in East and Southern Africa: a prospective cohort analysis from the multicentre CoVPN 3008 (Ubuntu) study
#1647,10.7326/annals-24-01015,39903865,,,Ioannou 2025,2025,Ann Intern Med,Effectiveness of the 2023-to-2024 XBB.1.5 COVID-19 Vaccines Over Long-Term Follow-up : A Target Trial Emulation
#2751,10.2807/1560-7917.Es.2025.30.5.2400596,39916606,,,Núñez 2025,2025,Euro Surveill,"Effectiveness of catch-up and at-birth nirsevimab immunisation against RSV hospital admission in the first year of life: a population-based case-control study, Spain, 2023/24 season"
#3484,10.1016/j.vaccine.2025.126847,39919447,,,Soens 2025,2025,Vaccine,A phase 3 randomized safety and immunogenicity trial of mRNA-1010 seasonal influenza vaccine in adults
#24941,10.1093/cid/ciaf061,39928572,,,Walsh 2025,2025,Clin Infect Dis,"Efficacy, Immunogenicity, and Safety of the Bivalent RSV Prefusion F (RSVpreF) Vaccine in Older Adults Over 2 RSV Seasons"
#1627,10.1038/s41598-025-88713-x,39939373,PMC11821952,,Hwang 2025,2025,Sci Rep,Global burden of vaccine-associated kidney injury using an international pharmacovigilance database
#1471,10.1016/j.vaccine.2025.126894,39970594,,,Hall 2025,2025,Vaccine,"COVID-19 vaccine initiation in pregnancy and risk for adverse neonatal outcomes among United States military service members, January-December 2021"
#10424,10.1016/j.lanepe.2024.101025,39974773,PMC11838104,,Suseeladevi 2024,2024,The Lancet Regional Health - Europe,"COVID-19 vaccination and birth outcomes of 186,990 women vaccinated before pregnancy: an England-wide cohort study"
#470,10.2459/jcm.0000000000001693,39976066,,,Birtolo 2025,2025,J Cardiovasc Med (Hagerstown),Myocarditis and pericarditis during COVID-19 pandemic: a study of the Italian Society of Cardiology
#2444,10.1016/j.jinf.2025.106447,39978439,,,Mazarakis 2025,2025,J Infect,"The immunogenicity, reactogenicity, and safety of a bivalent mRNA or protein COVID-19 vaccine given as a fourth dose"
#3168,10.2807/1560-7917.Es.2025.30.7.2500102,39980423,,,Rose 2025,2025,Euro Surveill,"Interim 2024/25 influenza vaccine effectiveness: eight European studies, September 2024 to January 2025"
#3602,10.2807/1560-7917.Es.2025.30.7.2500084,39980425,,,Sun 2025,2025,Euro Surveill,"Early vaccine effectiveness estimates against medically attended laboratory-confirmed influenza based on influenza surveillance, Beijing, China, 2024/25 season"
#484,10.2807/1560-7917.Es.2025.30.7.2500074,39980426,,,Blanquart 2025,2025,Euro Surveill,"Influenza vaccine effectiveness against detected infection in the community, France, October 2024 to February 2025"
#2314,10.1016/j.vaccine.2025.126892,39983541,,,Mackenzie 2025,2025,Vaccine,What three years of COVID-19 vaccine administration reveals about the incidence of shoulder injury related to vaccine administration (SIRVA)
#202,10.1016/j.vaccine.2025.126881,39987879,,,Andersen 2025,2025,Vaccine,Effectiveness of BNT162b2 XBB.1.5 vaccine in immunocompetent adults using tokenization in two U.S. states
#1606,10.1155/ijbc/8126974,39991115,PMC11846679,,Huang 2025,2025,International Journal of Breast Cancer,Reactive Axillary Lymphadenopathy Among Different COVID-19 Vaccines: A Retrospective Study in Breast Sonography
#4131,10.1001/jamanetworkopen.2024.59672,39992656,PMC11851240,,Yousaf 2025,2025,JAMA Netw Open,COVID-19 Vaccination and Odds of Post-COVID-19 Condition Symptoms in Children Aged 5 to 17 Years
#3948,10.1080/21645515.2025.2468074,39993940,PMC11853548,,Wen 2025,2025,Hum Vaccin Immunother,Immunogenicity and safety of 1 versus 2 doses of quadrivalent-inactivated influenza vaccine in children aged 3-8 years with or without previous influenza vaccination histories
#1001,10.1016/j.vaccine.2025.126869,39999538,,,Diya 2025,2025,Vaccine,A phase 2/3 trial to investigate the safety and immunogenicity of monovalent Omicron JN.1-adapted BNT162b2 COVID-19 vaccine in adults ≥18 years old
